,cmi,m_index,i_index,similarity_between_L1_and_L1-L2,similarity_between_L2_and_L1-L2,similarity_between_L1_and_L2,coherence,naturalness,readability,L1-L2,lang1_replaced_parts,lang2_replaced_parts,L1,L2,tokens,lids
10,31.11,0.75,0.2,0.95,0.92,0.86,3,3,2,فإن جزءا كبيرا من our processes كان عبارة عن خلق بيئة للإضاءة في every single location كان على بنيامين أن يظهر فيه حتى نتمكن من وضع Ben's head في أي مشهد وأن تتطابق تماما مع the lighting that's on the other actors في العالم الحقيقي.,[],[],فإن جزءا كبيرا من عملياتنا كان عبارة عن خلق بيئة للإضاءة في كل موقع كان على بنيامين أن يظهر فيه حتى نتمكن من وضع رأس بنيامين في أي مشهد وأن تتطابق تماما مع أي إضاءة مع أي ممثل آخر في العالم الحقيقي.,"So really, a big part of our processes was creating a lighting environment for every single location that Benjamin had to appear so that we could put Ben's head into any scene and it would exactly match the lighting that's on the other actors in the real world.","['فإن', 'جزءا', 'كبيرا', 'من', 'our', 'processes', 'كان', 'عبارة', 'عن', 'خلق', 'بيئة', 'للإضاءة', 'في', 'every', 'single', 'location', 'كان', 'على', 'بنيامين', 'أن', 'يظهر', 'فيه', 'حتى', 'نتمكن', 'من', 'وضع', ""Ben's"", 'head', 'في', 'أي', 'مشهد', 'وأن', 'تتطابق', 'تماما', 'مع', 'the', 'lighting', ""that's"", 'on', 'the', 'other', 'actors', 'في', 'العالم', 'الحقيقي', '.']","['ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'other']"
11,35.48,0.84,0.23,0.93,0.95,0.9,3,2,2,وضح أن half of those kids، أو about 1.8 million newborns around the world، قد يعيشون إذا you could just keep them warm للثلاثة أيام الأولى، maybe the first week.,[],[],وضح أن نصف هؤلاء الأطفال، أو تقريباً 1.8 مليون من حديثي الولادة حول العالم، قد يعيشون إذا أبقيناهم دافئين للثلاثة أيام الأولى، ربما الأسبوع الأول.,"It turns out half of those kids, or about 1.8 million newborns around the world, would make it if you could just keep them warm for the first three days, maybe the first week.","['وضح', 'أن', 'half', 'of', 'those', 'kids', '،', 'أو', 'about', '1.8', 'million', 'newborns', 'around', 'the', 'world', '،', 'قد', 'يعيشون', 'إذا', 'you', 'could', 'just', 'keep', 'them', 'warm', 'للثلاثة', 'أيام', 'الأولى،', 'maybe', 'the', 'first', 'week.']","['ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'eng', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng']"
12,43.4,0.97,0.27,0.98,0.93,0.92,3,2,2,"So, ناسا, في نقطة ما, قامت بتجربة حيث أخذوا صوراً لكوكب المريخ الذي كانوا يخططونه, وقد قالوا, instead of having ثلاثة إلى أربعة حملة دكتوراة مدربين لفعل هذا all the time, let's break it up into small components, ونضعها على الويب, ونرى إن كان الناس, using a very simple interface, سيقضون خمس دقائق هنا, 10 دقائق هناك, ينقرون. بعد ستة أشهر, كان 85,000 شخص قد استخدموها لتخطيط بمعدل أسرع من الصور الواردة, التي كانت, quote, ""practically indistinguishable from ترسيم حامل الدكتوراة المدرب بالكامل,"" once you showed it to a number of people and حسبت المتوسط.",[],[],"بحيث أن ناسا، في نقطة ما، قامت بتجربة حيث أخذوا صوراً لكوكب المريخ الذي كانوا يخططونه . وقد قالوا بدلا عن توظيف ثلاثة إلى أربعة حملة دكتوراة مدربين لفعل هذا طوال الوقت، لنقوم بتجزئتها لأجزاء أصغر، ونضعها على الويب، ونرى إن كان الناس، بإستخدام واجهات بسيطة للغاية، سيقضون خمس دقائق هنا، 10 دقائق هناك، ينقرون. بعد ستة أشهر، كان 85،000 شخص قد استخدموها لتخطيط بمعدل أسرع من الصور الواردة، التي كانت، إقتباس، "" عملياً لا يمكن تفريقها من ترسيم حامل الدكتوراة المدرب بالكامل،"" بمجرد أن قمت بعرضها على الناس وحسبت المتوسط.","So, NASA, at some point, did an experiment where they took images of Mars that they were mapping, and they said, instead of having three or four fully trained Ph.D.s doing this all the time, let's break it up into small components, put it up on the Web, and see if people, using a very simple interface, will actually spend five minutes here, 10 minutes there, clicking. After six months, 85,000 people used this to generate mapping at a faster rate than the images were coming in, which was, quote, ""practically indistinguishable from the markings of a fully-trained Ph.D.,"" once you showed it to a number of people and computed the average.","['So,', 'ناسا', ',', 'في', 'نقطة', 'ما', ',', 'قامت', 'بتجربة', 'حيث', 'أخذوا', 'صوراً', 'لكوكب', 'المريخ', 'الذي', 'كانوا', 'يخططونه', ',', 'وقد', 'قالوا', ',', 'instead', 'of', 'having', 'ثلاثة', 'إلى', 'أربعة', 'حملة', 'دكتوراة', 'مدربين', 'لفعل', 'هذا', 'all', 'the', 'time,', ""let's"", 'break', 'it', 'up', 'into', 'small', 'components,', 'ونضعها', 'على', 'الويب', ',', 'ونرى', 'إن', 'كان', 'الناس', ',', 'using', 'a', 'very', 'simple', 'interface,', 'سيقضون', 'خمس', 'دقائق', 'هنا', ',', '10', 'دقائق', 'هناك', ',', 'ينقرون', '.', 'بعد', 'ستة', 'أشهر', ',', 'كان', '85,000', 'شخص', 'قد', 'استخدموها', 'لتخطيط', 'بمعدل', 'أسرع', 'من', 'الصور', 'الواردة', ',', 'التي', 'كانت', ',', 'quote,', '""', 'practically', 'indistinguishable', 'from', 'ترسيم', 'حامل', 'الدكتوراة', 'المدرب', 'بالكامل', ',', '""', 'once', 'you', 'showed', 'it', 'to', 'a', 'number', 'of', 'people', 'and', 'حسبت', 'المتوسط', '.']","['eng', 'ara', 'eng', 'ara', 'ara', 'ara', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'eng', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'eng', 'other', 'ara', 'ara', 'eng', 'ara', 'other', 'ara', 'ara', 'ara', 'eng', 'ara', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'ara', 'ara', 'eng', 'eng', 'other', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'other']"
13,31.58,0.76,0.28,0.97,0.91,0.89,3,2,2,نظام المتعة ، كما ترون وهو the internal opiates ، هناك هرمون oxytocin منتشر في جميع أنحاء the brain.,[],[],نظام المتعة ، كما ترون وهو الأفيون الداخلي ، هناك هرمون الأوكسيتوسين منتشر في جميع أنحاء الدماغ.,"The pleasure system, as you see, which is the internal opiates, there is a hormone oxytocin, is widely spread throughout the brain.","['نظام', 'المتعة', '،', 'كما', 'ترون', 'وهو', 'the', 'internal', 'opiates', '،', 'هناك', 'هرمون', 'oxytocin', 'منتشر', 'في', 'جميع', 'أنحاء', 'the', 'brain.']","['ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'eng', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng']"
14,35.29,0.84,0.28,0.92,0.94,0.87,2,2,2,ألكساندر كانت لديه a story that his mother used to ترويها له، وبهذا went out to conquer العالم.,[],[],ألكساندر كانت لديه قصة ترويها له والدته، وبهذا خرج ليقهر العالم.,"Alexander had a story that his mother used to tell him, and he went out to conquer the world.","['ألكساندر', 'كانت', 'لديه', 'a', 'story', 'that', 'his', 'mother', 'used', 'to', 'ترويها', 'له،', 'وبهذا', 'went', 'out', 'to', 'conquer', 'العالم', '.']","['ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'other', 'ara', 'eng', 'eng', 'eng', 'eng', 'ara', 'other']"
15,41.94,0.95,0.16,0.97,0.91,0.89,3,3,2,"في هذه المرحلة، نترك الماء and one thing that's kind of important about هذه اللعبة هو أن في كل مستوى, the player is designing مخلوقه، وهذا جانب أساسي من هذا.",[],[],في هذه المرحلة، نترك الماء الشيئ المهم في هذه اللعبة هو أن في كل مستوى يقوم اللاعب بتصميم مخلوقه، وهذا جانب أساسي من هذا.,"Now at this point we're leaving the water, and one thing that's kind of important about this game is that, at every level, the player is designing their creature, and that's a fundamental aspect of this.","['في', 'هذه', 'المرحلة،', 'نترك', 'الماء', 'and', 'one', 'thing', ""that's"", 'kind', 'of', 'important', 'about', 'هذه', 'اللعبة', 'هو', 'أن', 'في', 'كل', 'مستوى', ',', 'the', 'player', 'is', 'designing', 'مخلوقه،', 'وهذا', 'جانب', 'أساسي', 'من', 'هذا', '.']","['ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'other']"
16,48.15,1.0,0.11,0.94,0.88,0.86,3,2,2,"حالة مختلفة قليلا حيث يعلمون ان احد الاشخاص هو عدو, where they've got someone shooting at them or doing something else that's clearly hostile, رمي الحجارة مثلا.",[],[],"حالة مختلفة قليلا حيث يعلمون ان احد الاشخاص هو عدو, حيث كان احد الاشخاص يطلق النار عليهم او يقوم بشيء اخر عدائي، رمي الحجارة مثلا.","Situation's a little bit different where perhaps they know someone who's hostile, where they've got someone shooting at them or doing something else that's clearly hostile, throwing rocks, whatever.","['حالة', 'مختلفة', 'قليلا', 'حيث', 'يعلمون', 'ان', 'احد', 'الاشخاص', 'هو', 'عدو', ',', 'where', ""they've"", 'got', 'someone', 'shooting', 'at', 'them', 'or', 'doing', 'something', 'else', ""that's"", 'clearly', 'hostile,', 'رمي', 'الحجارة', 'مثلا', '.']","['ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'other']"
17,26.32,0.63,0.28,0.92,0.89,0.87,2,2,2,حسنا، علي اليسار الآن يمكنكم رؤية اليد، هذا the big arrow والpenis على اليمين، واليد تحوم حوله.,[],[],حسنا، علي اليسار الآن يمكنكم رؤية اليد، هذا السهم الكبير والعضو الذكري على اليمين، واليد تحوم حوله,Okay. Now on the left you can see the hand -- that's the big arrow -- and the penis on the right. The hand hovering.,"['حسنا،', 'علي', 'اليسار', 'الآن', 'يمكنكم', 'رؤية', 'اليد،', 'هذا', 'the', 'big', 'arrow', 'وال', 'penis', 'على', 'اليمين،', 'واليد', 'تحوم', 'حوله', '.']","['ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'ara', 'eng', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng']"
18,31.25,0.75,0.31,0.93,0.91,0.83,2,2,2,"قام بدراسة الدماغ using MRI, ويدعي أن هذا هو the most beautiful دماغ قام بمسحه ضوئيا.",[],[],قام بدراسة الدماغ باستخدام التصوير بالرنين المغناطيسي ، ويدعي أن هذا هو أجمل دماغ قام بمسحه ضوئيا.,"He studies the brain using MRI, and he claims that this is the most beautiful brain that he has ever scanned.","['قام', 'بدراسة', 'الدماغ', 'using', 'MRI,', 'ويدعي', 'أن', 'هذا', 'هو', 'the', 'most', 'beautiful', 'دماغ', 'قام', 'بمسحه', 'ضوئيا', '.']","['ara', 'ara', 'ara', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'other']"
19,46.67,0.99,0.1,0.94,0.95,0.9,3,3,3,"إذن ما أريد منكم اعتباره هو: ما الذي يعنيه حين لا تعبر هذه النقط عن the individual bases of your genome, لكنها connect to genomes all across the planet?",[],[],إذن ما أريد منكم اعتباره هو: ما الذي يعنيه حين لا تعبر هذه النقط عن القواعد المفردة لجينومكم، لكنها تربط الجينوم على مدى الكوكب؟,"So what I'd like you to consider is: What does it mean when these dots don't represent the individual bases of your genome, but they connect to genomes all across the planet?","['إذن', 'ما', 'أريد', 'منكم', 'اعتباره', 'هو:', 'ما', 'الذي', 'يعنيه', 'حين', 'لا', 'تعبر', 'هذه', 'النقط', 'عن', 'the', 'individual', 'bases', 'of', 'your', 'genome,', 'لكنها', 'connect', 'to', 'genomes', 'all', 'across', 'the', 'planet', '?']","['ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']"
20,33.33,0.8,0.14,0.95,0.96,0.92,3,3,2,"لا، هذا ما ينبغي أن يدرس -- the good living, the good habits, وهي just as hard to break as bad habits.",[],[],لا، هذا ما ينبغي أن يدرس -- الحياة الجيدة، العادات الصحيحة. وهي صعبة الكسر تماماً كالعادات السيئة.,"No, this is what should be taught -- the good living, the good habits, which are just as hard to break as bad habits.","['لا،', 'هذا', 'ما', 'ينبغي', 'أن', 'يدرس', '--', 'the', 'good', 'living,', 'the', 'good', 'habits,', 'وهي', 'just', 'as', 'hard', 'to', 'break', 'as', 'bad', 'habits.']","['ara', 'ara', 'ara', 'ara', 'ara', 'ara', 'other', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']"
21,38.1,0.89,0.25,0.86,0.92,0.82,3,2,2,حسنآ، سأبدآ بهذا: a couple years ago، اتصلت بي an event planner لانني كنت going to do a speaking event.,[],[],حسنآ، سأبدآ بهذا: قبل بضع سنين، اتصلت بي منظِمة مناسبات لانني كنت عازمه علي الحديث في مناسبه ما.,"So, I'll start with this: a couple years ago, an event planner called me because I was going to do a speaking event.","['حسنآ،', 'سأبدآ', 'بهذا:', 'a', 'couple', 'years', 'ago', '،', 'اتصلت', 'بي', 'an', 'event', 'planner', 'لانني', 'كنت', 'going', 'to', 'do', 'a', 'speaking', 'event.']","['ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'ara', 'ara', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']"
22,38.46,0.9,0.38,0.93,0.86,0.87,3,3,2,لان احد من her favorite folks من مدينتها هنا، وهي pretty nervous لمقابلته.,[],[],لان احد من الاشخاص المفضلين لديها من مدينتها هنا، وهي متوترة جداً لمقابلته.,"Because one of her favorite folks from back home is here, and she's pretty nervous to meet him.","['لان', 'احد', 'من', 'her', 'favorite', 'folks', 'من', 'مدينتها', 'هنا،', 'وهي', 'pretty', 'nervous', 'لمقابلته', '.']","['ara', 'ara', 'ara', 'eng', 'eng', 'eng', 'ara', 'ara', 'ara', 'ara', 'eng', 'eng', 'ara', 'other']"
